experiment,k,depth,run,witness_s,prove_s,verify_s,total_prover_s,status
bounded_history,15,2,1,0.4156704480000144,5.679450674000009,0.6323615420000124,6.095121122000023,success
bounded_history,15,2,2,0.4095341119999887,5.220468201999978,0.6348279439999942,5.630002313999967,success
bounded_history,15,2,3,0.41401756800001976,5.206781196999998,0.6201779870000337,5.620798765000018,success
bounded_history,15,2,4,0.4021704639999939,5.167687052999952,0.6282469600000127,5.569857516999946,success
bounded_history,15,2,5,0.4032898140000043,5.200199972999997,0.6205596469999932,5.603489787000001,success
bounded_history,15,2,6,0.415587405999986,5.1872798850000095,0.6335246560000201,5.6028672909999955,success
bounded_history,15,2,7,0.41195978899997954,5.207717315000025,0.6511413709999943,5.619677104000004,success
bounded_history,15,2,8,0.40404856899999686,5.281635441999981,0.6284013680000271,5.685684010999978,success
bounded_history,15,2,9,0.4166144960000224,5.282202835000021,0.6366227130000084,5.698817331000043,success
bounded_history,15,2,10,0.4010739480000325,5.3705273289999695,0.6966132420000122,5.771601277000002,success
bounded_history,15,2,11,0.5119969149999974,6.462865000999955,0.6982018699999912,6.974861915999952,success
bounded_history,15,2,12,0.425396595000052,6.311710242000004,0.7026993160000075,6.737106837000056,success
bounded_history,15,2,13,0.4413434309999502,5.148192574999996,0.6256328189999749,5.589536005999946,success
bounded_history,15,2,14,0.398119338000015,5.2095937880000065,0.6260796739999819,5.6077131260000215,success
bounded_history,15,2,15,0.41584231299998464,5.190023596999993,0.6364322500000412,5.605865909999977,success
bounded_history,15,2,16,0.41798450599998205,5.196410282999977,0.633578497999963,5.6143947889999595,success
bounded_history,15,2,17,0.4142361049999863,5.1767579340000225,0.6251351380000187,5.590994039000009,success
bounded_history,15,2,18,0.39684139399997775,5.160174353000002,0.6304373379999788,5.55701574699998,success
bounded_history,15,2,19,0.42960241700001234,5.193509907000021,0.6290866190000202,5.623112324000033,success
bounded_history,15,2,20,0.40591473699998915,5.221439234999991,0.6233471259999988,5.62735397199998,success
bounded_history,15,2,21,0.4130827000000181,5.23691420199998,0.6313995849999969,5.649996901999998,success
bounded_history,15,2,22,0.43123544200000197,5.210792529000003,0.6410718050000241,5.6420279710000045,success
bounded_history,15,2,23,0.40004762299997765,5.2020896440000115,0.6395082920000164,5.602137266999989,success
bounded_history,15,2,24,0.41487126100003024,5.216888295000047,0.630624298999976,5.631759556000077,success
bounded_history,15,2,25,0.412528921000046,5.224705478000033,0.6445793380000282,5.637234399000079,success
bounded_history,15,2,26,0.42387791300001254,5.160433715000011,0.6205228520000219,5.584311628000023,success
bounded_history,15,2,27,0.4040499040000327,5.206851115000006,0.6385748239999884,5.610901019000039,success
bounded_history,15,2,28,0.4085032460000093,5.164375757000016,0.6333165799999847,5.5728790030000255,success
bounded_history,15,2,29,0.41158450700004323,5.218458306999992,0.6213330450000285,5.630042814000035,success
bounded_history,15,2,30,0.42270983100002013,5.30550811300003,0.6271456090000243,5.7282179440000505,success
